State,Year,Quarter,Brand,Transaction_count,Percentage
Andaman And Nicobar Islands,2020,3,Xiaomi,9794,0.23694205878795202
Andaman And Nicobar Islands,2020,3,Vivo,9556,0.23118422644248202
Andaman And Nicobar Islands,2020,3,Samsung,7572,0.18318616184831202
Andaman And Nicobar Islands,2020,3,Oppo,3730,0.090238296842869
Andaman And Nicobar Islands,2020,3,Realme,2285,0.055280029031087
Andaman And Nicobar Islands,2020,3,OnePlus,1440,0.034837304947381
Andaman And Nicobar Islands,2020,3,Huawei,1213,0.029345590903592
Andaman And Nicobar Islands,2020,3,Motorola,907,0.021942663602274003
Andaman And Nicobar Islands,2020,3,Apple,870,0.021047538405709002
Andaman And Nicobar Islands,2020,3,Lenovo,606,0.014660699165356
Andaman And Nicobar Islands,2020,3,Others,3362,0.081335430022982
Andaman And Nicobar Islands,2020,4,Xiaomi,12398,0.23662111611573403
Andaman And Nicobar Islands,2020,4,Vivo,12275,0.234273608672417
Andaman And Nicobar Islands,2020,4,Samsung,9938,0.18967096724940802
Andaman And Nicobar Islands,2020,4,Oppo,4723,0.09014046873807101
Andaman And Nicobar Islands,2020,4,Realme,2996,0.057179937399801005
Andaman And Nicobar Islands,2020,4,OnePlus,1638,0.03126192839148
Andaman And Nicobar Islands,2020,4,Huawei,1472,0.028093747614321003
Andaman And Nicobar Islands,2020,4,Motorola,1032,0.019696160012214
Andaman And Nicobar Islands,2020,4,Apple,973,0.018570119856477
Andaman And Nicobar Islands,2020,4,Lenovo,708,0.013512481868844002
Andaman And Nicobar Islands,2020,4,Others,4243,0.08097946408122701
Andaman And Nicobar Islands,2021,1,Vivo,13812,0.23913570414488003
Andaman And Nicobar Islands,2021,1,Xiaomi,13714,0.237438969493403
Andaman And Nicobar Islands,2021,1,Samsung,10861,0.18804321479275501
Andaman And Nicobar Islands,2021,1,Oppo,5158,0.08930364624813801
Andaman And Nicobar Islands,2021,1,Realme,3419,0.059195262993870006
Andaman And Nicobar Islands,2021,1,OnePlus,1773,0.030697046296616
Andaman And Nicobar Islands,2021,1,Huawei,1575,0.027268949755877
Andaman And Nicobar Islands,2021,1,Motorola,1062,0.018387063263963003
Andaman And Nicobar Islands,2021,1,Apple,1056,0.018283181550607
Andaman And Nicobar Islands,2021,1,Tecno,796,0.013781640638526
Andaman And Nicobar Islands,2021,1,Others,4532,0.078465320821358
Andaman And Nicobar Islands,2021,2,Vivo,15056,0.24246718737418402
Andaman And Nicobar Islands,2021,2,Xiaomi,14788,0.23815121990498403
Andaman And Nicobar Islands,2021,2,Samsung,11476,0.184813592076656
Andaman And Nicobar Islands,2021,2,Oppo,5456,0.08786536758193
Andaman And Nicobar Islands,2021,2,Realme,4034,0.064964973025203
Andaman And Nicobar Islands,2021,2,OnePlus,1981,0.031902729688380004
Andaman And Nicobar Islands,2021,2,Huawei,1559,0.025106691360012003
Andaman And Nicobar Islands,2021,2,Apple,1153,0.018568322731298003
Andaman And Nicobar Islands,2021,2,Motorola,1054,0.016973991464691
Andaman And Nicobar Islands,2021,2,Tecno,974,0.015685642966422
Andaman And Nicobar Islands,2021,2,Others,4564,0.07350028182623401
Andaman And Nicobar Islands,2021,3,Vivo,16411,0.245006121047445
Andaman And Nicobar Islands,2021,3,Xiaomi,15938,0.23794452240900502
Andaman And Nicobar Islands,2021,3,Samsung,12028,0.17957063091576803
Andaman And Nicobar Islands,2021,3,Oppo,5853,0.087381684631692
Andaman And Nicobar Islands,2021,3,Realme,4808,0.07178047833746301
Andaman And Nicobar Islands,2021,3,OnePlus,2306,0.034427159535397
Andaman And Nicobar Islands,2021,3,Huawei,1567,0.023394344749335
Andaman And Nicobar Islands,2021,3,Apple,1283,0.019154399689468003
Andaman And Nicobar Islands,2021,3,Tecno,1178,0.017586814368039
Andaman And Nicobar Islands,2021,3,Motorola,1017,0.015183183541847
Andaman And Nicobar Islands,2021,3,Others,4593,0.06857066077453601
Andaman And Nicobar Islands,2021,4,Vivo,17597,0.24515185288381103
Andaman And Nicobar Islands,2021,4,Xiaomi,16968,0.23638896628587303
